datetime,log key,log data
2018:09:30:20:00:07:720,136-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:721,137-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:721,138-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:722,139-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:723,140-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:724,141-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:724,142-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:729,143-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:730,144-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:732,145-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:732,146-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:733,147-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:733,148-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:735,149-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:735,150-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:736,151-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:736,152-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:737,153-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:737,154-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:739,155-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:739,156-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:744,157-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:745,158-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:745,159-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:746,160-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:746,161-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:747,162-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:748,163-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:749,164-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:749,165-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:751,166-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:751,167-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:754,168-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:762,169-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:763,170-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:763,171-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:764,172-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:765,173-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:767,174-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:768,175-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:770,176-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:771,177-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:771,178-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:772,179-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:772,180-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:772,181-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:773,182-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:774,183-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:779,184-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:781,185-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
