id,datetime,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
400153814,2018:09:02:06:51:46:464,SELL,808638,0.05,JRF20180902-065145-044173,JRF20180902-065146-967004
400153815,2018:09:02:06:51:46:464,SELL,808605,0.06,JRF20180902-065145-394856,JRF20180902-065146-967004
400153816,2018:09:02:06:51:46:464,SELL,808576,0.01308157,JRF20180902-065105-697459,JRF20180902-065146-967004
400153817,2018:09:02:06:51:46:464,SELL,808571,0.01,JRF20180902-065122-091025,JRF20180902-065146-967004
400153818,2018:09:02:06:51:46:464,SELL,808568,0.01,JRF20180902-065108-089488,JRF20180902-065146-967004
400153819,2018:09:02:06:51:46:464,SELL,808568,0.01,JRF20180902-065141-083743,JRF20180902-065146-967004
400153820,2018:09:02:06:51:46:464,SELL,808567,0.01,JRF20180902-065014-077918,JRF20180902-065146-967004
400153821,2018:09:02:06:51:46:464,SELL,808567,0.015,JRF20180902-065127-640227,JRF20180902-065146-967004
400153822,2018:09:02:06:51:46:464,SELL,808566,0.01,JRF20180902-065141-095639,JRF20180902-065146-967004
400153823,2018:09:02:06:51:46:464,SELL,808565,0.017,JRF20180902-065125-092148,JRF20180902-065146-967004
400153824,2018:09:02:06:51:46:464,SELL,808563,0.03,JRF20180902-065145-800689,JRF20180902-065146-967004
400153825,2018:09:02:06:51:46:464,SELL,808561,0.048,JRF20180902-064823-053162,JRF20180902-065146-967004
400153826,2018:09:02:06:51:46:464,SELL,808561,0.6,JRF20180902-065137-872676,JRF20180902-065146-967004
400153827,2018:09:02:06:51:46:464,SELL,808561,0.6,JRF20180902-065142-912558,JRF20180902-065146-967004
400153828,2018:09:02:06:51:46:464,SELL,808559,0.01,JRF20180902-064959-074832,JRF20180902-065146-967004
400153829,2018:09:02:06:51:46:464,SELL,808559,1.11848893,JRF20180902-065142-541040,JRF20180902-065146-967004
400153830,2018:09:02:06:51:46:526,BUY,808663,0.02,JRF20180902-065146-361710,JRF20180902-065146-541067
400153831,2018:09:02:06:51:46:526,BUY,808664,0.15,JRF20180902-065146-361710,JRF20180902-065146-200802
400153832,2018:09:02:06:51:46:526,BUY,808666,0.08,JRF20180902-065146-361710,JRF20180902-065145-967000
400153833,2018:09:02:06:51:46:558,BUY,808669,0.05,JRF20180902-065146-200803,JRF20180902-065145-111779
